id,CatName,Root,Orderid,key,desc,pic,over_pic
1,闸阀,0,1,铸钢闸阀|美标闸阀|进口闸阀|不锈钢闸阀|信号闸阀|弹性座封闸阀|波纹管闸阀|暗杆闸阀|明杆闸阀,,,
2,蝶阀,0,2,对夹式蝶阀|涡轮蝶阀|铸铁蝶阀|不锈钢蝶阀|高真空蝶阀|气动蝶阀|中线蝶阀|电动蝶阀|软密封蝶阀|硬密封蝶阀,,,
3,球阀,0,3,黄铜球阀|不锈钢球阀|三片式球阀|青铜球阀|碳钢法兰球阀|固定式球阀|硬密封球阀|气动球阀|电动球阀|dn200球阀|不锈钢焊接式球阀,,,
4,截止阀,0,4,截止阀原理|截止阀的作用|截止阀和闸阀的区别|不锈钢截止阀|进口截止阀型号|波纹管蒸汽截止阀,,,
5,放料阀,0,5,保温放料阀|铸钢放料阀|不锈钢放料阀|下展式放料阀|上展式放料阀|衬氟放料阀,,,
6,止回阀,0,6,旋启式止回阀|防火止回阀|止回阀原理|消声止回阀|对夹式止回阀|止回阀图片|不锈钢止回阀|升降式止回阀,,,
7,平衡阀,0,7,动态平衡阀|静态平衡阀|流量平衡阀|自力式压差控制阀|平衡阀dn100,,,
8,针型阀,0,8,针型阀不锈钢|美国飞托克针型阀|进口针型阀|针型阀型号|美标针型阀,,,
9,疏水阀,0,9,进口疏水阀|进口蒸汽疏水阀|进口浮球式疏水阀|疏水阀原理|疏水阀型号|斯派莎克疏水阀|阿姆斯壮疏水阀,,,
10,排气阀,0,10,不锈钢排气阀|黄铜排气阀|排气阀工作原理|排气阀图片|排气阀型号,,,
11,电磁阀,0,11,电磁阀门|进口电磁阀工作原理|防爆电磁阀原理|电磁阀价格|电磁阀原理|电磁阀图片|上海电磁阀品牌,,,
13,旋塞阀,0,13,三通旋塞阀|进口旋塞阀|三通旋塞阀厂家|高压旋塞阀|旋塞阀型号|气动旋塞阀,,,
14,隔膜阀,0,14,气动隔膜阀|气动卫生级隔膜阀|隔膜阀原理|气动衬胶隔膜阀|不锈钢隔膜阀,,,
15,管夹阀,0,15,进口管夹阀|气动管夹阀|管夹阀gj41x|管夹阀的使用方法|管夹阀价格,,,
17,减压阀,0,16,进口先导式减压阀|减压阀型号|减压阀价格|进口减压阀图片|减压阀的工作原理|蒸汽减压阀|氢气减压阀,,,
18,阻火器,0,17,进口阻火器|管道阻火器|防爆管道阻火器|阻火器价格,,,
19,调节阀,0,17,进口调节阀品牌|合资进口调节阀|进口调节阀价格|进口调节阀图片,,,
20,过滤器,0,18,进口过滤器|Y型进口过滤器|不锈钢进口过滤器|过滤器价格,,,
21,安全阀,0,18,进口安全阀的作用|安全阀整定压力|进口安全阀品牌|进口安全阀价格,,,
22,液压阀门,0,19,,,,
23,水力控制阀,0,20,进口水力控制阀|水力控制阀生产厂家|上海水力控制阀价格,,,
24,气动角座阀,0,19,进口气动角座阀|不锈钢气动角座阀图片|进口角座阀结构图,,,
25,进口品牌,0,0,"进口阀门,英国斯派莎克,美国克瑞,台湾荣牌,台湾广腾,德国汉克,英国鹤牌,美国福斯,美国泰科_彪维流体设备（上海）有限公司","进口阀门,英国斯派莎克,美国克瑞,台湾荣牌,台湾广腾,德国汉克,英国鹤牌,美国福斯,美国泰科,美标阀门,德标阀门,英标阀门,日标阀门,国标阀门_彪维流体设备（上海）有限公司",,
26,美国克瑞阀门,25,1,美国克瑞总代理|美国克瑞办事处|CRANE阀门|美国克瑞闸阀|美国克瑞蝶阀|美国克瑞球阀|美国克瑞止回阀|美国克瑞截止阀|美国克瑞旋塞阀|美国克瑞过滤器|美国苏莫斯旋塞阀,美国克瑞总代理|美国克瑞办事处|CRANE阀门|美国克瑞闸阀|美国克瑞蝶阀|美国克瑞球阀|美国克瑞止回阀|美国克瑞旋塞阀|美国克瑞过滤器|美国苏莫斯旋塞阀|Center Line蝶阀|REVO气动执行器|德国WTA截止阀|Duo-Chek止回阀,,
27,英国斯派莎克,25,2,英国斯派莎克总代理|英国斯派莎克办事处|英国斯派莎克疏水阀|英国斯派莎克截止阀|英国斯派莎克止回阀|英国斯派莎克减压阀|英国斯派莎克安全阀|英国斯派莎克过滤器|英国斯派莎克调节阀,英国斯派莎克总代理|英国斯派莎克办事处|英国斯派莎克疏水阀|英国斯派莎克截止阀|英国斯派莎克止回阀|英国斯派莎克减压阀|英国斯派莎克安全阀|英国斯派莎克过滤器|英国斯派莎克调节阀,,
28,台湾荣牌阀门,25,3,台湾荣牌办事处|台湾荣牌总代理|台湾荣牌蝶阀|台湾荣牌闸阀|台湾荣牌球阀|台湾荣牌截止阀|台湾荣牌止回阀|台湾荣牌过滤器,台湾荣牌办事处|台湾荣牌总代理|台湾荣牌蝶阀|台湾荣牌闸阀|台湾荣牌球阀|台湾荣牌截止阀|台湾荣牌止回阀|台湾荣牌过滤器,,
29,日本耀希达凯,25,4,日本耀希达凯总代理|日本耀希达凯办事处|日本耀希达凯阀门|进口阀门|日本耀希达凯减压阀|日本耀希达凯电磁阀|日本耀希达凯安全阀|日本日本耀希达凯过滤器|日本耀希达凯疏水阀,日本耀希达凯总代理|日本耀希达凯办事处|日本耀希达凯阀门|进口阀门|日本耀希达凯减压阀|日本耀希达凯电磁阀|日本耀希达凯安全阀|日本日本耀希达凯过滤器|日本耀希达凯疏水阀,,
30,英国鹤牌阀门,25,5,英国鹤牌总代理|英国鹤牌办事处|英国鹤牌蝶阀|英国鹤牌球阀|英国鹤牌闸阀|英国鹤牌截止阀|英国鹤牌平衡阀|英国鹤牌过滤器|彪维流体设备（上海）有限公司,英国鹤牌总代理|英国鹤牌办事处|英国鹤牌蝶阀|英国鹤牌球阀|英国鹤牌闸阀|英国鹤牌截止阀|英国鹤牌平衡阀|英国鹤牌过滤器|彪维流体设备（上海）有限公司,,
31,美国福斯阀门,25,6,美国福斯总代理|美国福斯办事处|美国福斯球阀|美国福斯闸阀|美国福斯蝶阀|美国福斯旋塞阀|美国福斯调节阀|美国福斯气动旋塞阀|美国福斯电动旋塞阀|彪维流体设备（上海）有限公司,美国福斯总代理|美国福斯办事处|美国福斯球阀|美国福斯闸阀|美国福斯蝶阀|美国福斯旋塞阀|美国福斯调节阀|美国福斯气动旋塞阀|美国福斯电动旋塞阀|彪维流体设备（上海）有限公司,,
32,台湾广腾阀门,25,7,台湾广腾总代理|台湾广腾办事处|台湾广腾蝶阀|台湾广腾闸阀|台湾广腾球阀|台湾广腾截止阀|台湾广腾止回阀|台湾广腾过滤器|台湾广腾疏水阀|彪维流体设备（上海）有限公司,台湾广腾总代理|台湾广腾办事处|台湾广腾蝶阀|台湾广腾闸阀|台湾广腾球阀|台湾广腾截止阀|台湾广腾止回阀|台湾广腾过滤器|台湾广腾疏水阀|彪维流体设备（上海）有限公司,,
33,美国泰科阀门,25,8,美国泰科总代理|美国泰科办事处|美国泰科闸阀|美国泰科球阀|美国泰科蝶阀|美国泰科底阀|美国泰科截止阀|美国泰科止回阀|美国泰科减压阀|美国泰科安全阀|彪维流体设备（上海）有限公司,美国泰科总代理|美国泰科办事处|美国泰科闸阀|美国泰科球阀|美国泰科蝶阀|美国泰科底阀|美国泰科截止阀|美国泰科止回阀|美国泰科减压阀|美国泰科安全阀|彪维流体设备（上海）有限公司,,
34,德国汉克阀门,25,9,德国汉克总代理|德国汉克办事处|德国汉克蝶阀|德国汉克球阀|德国汉克闸阀|德国汉克截止阀|德国汉克止回阀|德国汉克过滤器|德国汉克调节阀|彪维流体设备（上海）有限公司,德国汉克总代理|德国汉克办事处|德国汉克蝶阀|德国汉克球阀|德国汉克闸阀|德国汉克截止阀|德国汉克止回阀|德国汉克过滤器|德国汉克调节阀|彪维流体设备（上海）有限公司,,
35,美国飞托克阀门,25,10,美国飞托克总代理|美国FITOK办事处|美国飞托克针型阀|美国飞托克球阀|美国飞托克仪表阀|美国飞托克取样阀|美国飞托克五阀组|美国飞托克三阀组|美国飞托克二阀组|彪维流体设备（上海）有限公司,美国飞托克总代理|美国FITOK办事处|美国飞托克针型阀|美国飞托克球阀|美国飞托克仪表阀|美国飞托克取样阀|美国飞托克五阀组|美国飞托克三阀组|美国飞托克二阀组|彪维流体设备（上海）有限公司,,
36,美国阿姆斯壮阀门,25,11,美国阿姆斯壮总代理|美国阿姆斯壮疏水阀|美国阿姆斯壮减压阀|美国阿姆斯壮球阀|阿姆斯壮阀门|美国阿姆斯壮型号|阿姆斯壮尺寸|彪维流体设备（上海）有限公司,美国阿姆斯壮总代理|美国阿姆斯壮疏水阀|美国阿姆斯壮减压阀|美国阿姆斯壮球阀|阿姆斯壮阀门|美国阿姆斯壮型号|阿姆斯壮尺寸|彪维流体设备（上海）有限公司,,
37,德国AKO阀门,25,12,德国AKO阀门|安可奥夹管阀|AKO夹管阀|埃克夹管阀|进口管夹阀|德国AKO气动管夹阀|德国管夹阀|德国AKO阀门总代理|彪维流体设备（上海）有限公司,德国AKO阀门|安可奥夹管阀|AKO夹管阀|埃克夹管阀|进口管夹阀|德国AKO气动管夹阀|德国管夹阀|德国AKO阀门总代理|彪维流体设备（上海）有限公司,,
